District,Facility Type,Material Type,Facility ID,Facility Description,Company,Contact Person,Contact Email,Telephone Number,Physical Address,P-Address Line 2,P-Address City,P-Address State,P-Address Zip,P-Address Country,Latitude,Longitude,Mailing Address,M-Address Line 2,M-Address City,M-Address State,M-Address Zip,M-Address Country,Facility Status,Facility Status Date,QCP Status,QCP Status Date
District 1,Mine,Aggregate,01730,"Florida Shell - Punta Gorda, FL","Alligator Alley Aggregate and Asphalt, Inc.",Ernesto De La Osa,ernestodelaosa@aol.com,(941) 639-1434,2351 SR 31,,PUNTA GORDA,Florida,33982,,26.818096,-81.760172,41451 COOK BROWN ROAD,,PUNTA GORDA,Florida,33982,,Approved,5/9/2013,Accepted,9/22/2016
District 1,Mine,Aggregate,01791,"Watermelon Pit, LLC. - Punta Gorda, FL","CJC SHELL, LLC.",David Muncy,David@earthdepot.com,(941) 916-3342,2000 STATE ROAD 31,,PUNTA GORDA,Florida,33982,,27.002329,-81.750548,1133 BAL HARBOR #1139,,PUNTA GORDA,Florida,33950,,Approved,11/16/2023,Accepted,10/3/2023
District 1,Mine,Aggregate,01794,"Bermont Excavating, LLC. - Punta Gorda, FL",Bermont Excavating LLC,Dave Boff,dave@bermontexcavating.com,(239) 777-1473,37390 BERMONT ROAD,,PUNTA GORDA,Florida,33982,,26.947962,-81.836450,37390 BERMONT ROAD,,PUNTA GORDA,Florida,33982,,Approved,3/30/2015,Accepted,9/22/2016
District 1,Mine,Aggregate,01863,"Williams Farms Sand and Shell, Inc. - Punta Gorda, FL",Williams Farms Sand and Shell Inc.,DAVID SMITH,WILLIAMSSANDANDSHELL@GMAIL.COM,(941) 575-0811,3300 State Road 31,,Punta Gorda,Florida,33982,,26.985995,-81.751914,3300 State Road 31,,Punta Gorda,Florida,33982,,Approved,9/20/2019,Accepted,9/25/2019
District 1,Mine,Aggregate,01879,"CJC Shell, LLC. - Punta Gorda, FL","CJC SHELL, LLC.",DAVID MUNCY,David@BDCShell.com,(941) 916-3342,3750 State Road 31,,Punta Gorda,Florida,33982,,26.969485,-81.755842,1133 Bal Harbor #1139,,Punta Gorda,Florida,33950,,Approved,9/15/2020,Accepted,9/15/2020
District 1,Mine,Aggregate,01927,Bermont Excavating LLC-Alico,Bermont Excavating LLC,Dave Boff,dave@bermontmaterials.com,(239) 777-1473,1451 SR 31,,Punta Gorda,Florida,33982,,27.013652,-81.761759,1451 SR 31,,Punta Gorda,Florida,33982,,Approved,10/4/2024,Accepted,10/4/2024
District 1,Mine,Aggregate,01939,Anthem Aggregates DBA Neal Aggregates,Anthom Aggregates DBA Neal Aggregates,Jeff Curry,jeffnealagg@gmail.com,(239) 218-8330,4511 Neal Road,,Punta Gorda,Florida,33982,,26.931649,-82.041018,4511 Neal Road,,Punta Gorda,Florida,33982,,Under Review,6/2/2025,,
District 1,Mine,Aggregate,03616,"Conrad Yelvington Distributors - Naples, FL","Conrad Yelvington Distributors, Inc.",DALE STRIPLING,dale.stripling@cydi.com,(386) 547-5116,911 5TH ST. S.W.,,NAPLES,Florida,34117,,26.208210,-81.614020,4800 CONE RD,,TAMPA,Florida,33610,,Approved,11/23/2004,Accepted,12/17/2014
District 1,Mine,Aggregate,03677,"Stewart Materials, LLC. - Immokalee, FL",Stewart Materials LLC,ONIEL GARDNER,oneil@stewartmaterials.com,(772) 370-8511,2301 EDWARDS GROVE ROAD,,IMMOKALEE,Florida,34142,,26.468190,-81.452080,P.O. BOX 4332,,FT. PIERCE,Florida,34948,,Approved,5/20/2008,Accepted,9/22/2016
District 1,Mine,Aggregate,03811,"The 846 Mine - Naples, FL",The 846 Mine,Barry Blankenship,Bblankenship@qeusa.com,(513) 260-7961,16000 Immokalee Road,,Naples,Florida,34120,,26.327108,-81.594994,16000 Immokalee Road,,Naples,Florida,34120,,Approved,5/26/2016,Accepted,9/22/2016
District 1,Mine,Aggregate,03891,"Cemex, Inc. - Immokalee, FL","Cemex, Inc. - Aggregate Division",DONALD WHITLEY,donaldw.whitley@cemex.com,(863) 557-1910,3642 SR-82,,Immokalee,Florida,34142,,26.501400,-81.463800,3642 SR-82,,Immokalee,Florida,34142,,Approved,12/20/2022,Accepted,12/20/2022
District 1,Mine,Aggregate,03930,Sunniland Mine,Quality Enterprises USA,BARRY BLANKENSHIP,bblankenship@qeusa.com,(513) 260-7961,8406 SR-29,,Immokalee,Florida,34143,,26.365920,-81.332145,8406 SR-29,,Immokalee,Florida,34143,,Approved,1/7/2025,Accepted,1/7/2025
District 1,Mine,Aggregate,04936,4M Materials Inc.,4M Materials Inc.,SHAD SMITH,SHAD@4MMATERIALSINC.COM,(239) 603-9857,12996 State Road 31,,Arcadia,Florida,34266,,27.034720,-81.771110,12996 State Road 31,,Arcadia,Florida,34266,,Under Review,4/16/2025,,
District 1,Mine,Aggregate,05045,"E.R. Jahna Industries, Inc. - Moore Haven, FL","E.R. Jahna Industries, Inc.",MARIO CARDENAS,mcardenas@jahna.com,(863) 557-0342,8561 WEST STATE ROAD 78,,MOORE HAVEN,Florida,33471,,26.812020,-81.295880,8455 CR 474,,CLERMONT,Florida,34714,,Approved,6/23/2015,Accepted,9/22/2016
District 1,Mine,Aggregate,05354,"Ridgdill & Sons, Inc. - Moore Haven, FL","Ridgill & Sons, Inc.",David Collins,ScaleHouse@RidgdillConstruction.com,(863) 983-3136,1000 BRONSON RD.,,MOORE HAVEN,Florida,33471,,26.805010,-81.173150,1785 RIDGDILL RD.,,CLEWISTON,Florida,33440,,Approved,6/23/2015,Accepted,9/6/2019
District 1,Mine,Aggregate,05455,"Cemex, Inc. - Palmdale, FL","Cemex, Inc. - Aggregate Division",Donald Whitley,donaldw.whitley@cemex.com,(863) 557-1910,11667 U.S. HIGHWAY 27,,PALMDALE,Florida,33944,,26.915240,-81.263840,100 LEM CARNES ROAD,,DAVENPORT,Florida,33837,,Approved,6/23/2015,Accepted,9/22/2016
District 1,Mine,Aggregate,05505,"Vulcan Materials Company - Moore Haven, FL",Vulcan Materials Company,Matthew Staples,staplesm@vmcmail.com,(239) 258-1905,11655 WEST STATE ROAD 78,,MOORE HAVEN,Florida,33471,,26.810720,-81.278700,P.O. BOX 477,,LABELLE,Florida,33975,,Approved,6/23/2015,Accepted,9/22/2016
District 1,Mine,Aggregate,05926,Stewart Materials LLC - Boar Hammock Mine,Stewart Materials LLC,ONIEL GARDNER,oniel@stewartmaterials.com,(772) 370-8511,1445 Lykes Road,,Moore Haven,Florida,33471,,26.885933,-81.225698,1445 Lykes Road,,Moore Haven,Florida,33471,,Approved,1/8/2025,Accepted,1/9/2025
District 1,Mine,Aggregate,07894,"Tomahawk Construction, LLC. - LaBelle, FL","Tomahawk Construction, LLC",KIM THOMPSON,kim@tomahawkconstruction.com,(239) 810-1148,4930 SR-29,,LaBelle,Florida,33935,,26.690790,-81.441050,4930 SR-29,,LaBelle,Florida,33935,,Approved,8/16/2022,Accepted,8/16/2022
District 1,Mine,Aggregate,07934,Delta Mine,"Tomahawk Construction, LLC",KIM THOMPSON,kim@tomahawkconstruction.com,(239) 810-1148,"9025 S Felda Church Road,",,Hendry County,Florida,33935,,26.518888,-81.522573,4930 SR29,,Labelle,Florida,32114,,Under Review,2/19/2025,,
District 1,Mine,Aggregate,12008,CEMEX,"Cemex, Inc. - Aggregate Division",Juan Martinez,juanp.martinez@cemex.com,(239) 267-8181 x247,12451 ALICO RD.,,FORT MYERS,Florida,33913,,26.489970,-81.759970,12451 ALICO RD.,,FORT MYERS,Florida,33913,,Approved,12/6/2001,Accepted,9/22/2016
District 1,Mine,Aggregate,12260,VULCAN MATERIALS COMPANY,Vulcan Materials Company,Taff Archey,archeyt@vmcmail.com,(239) 454-2831,14341 ALICO RD.,,FORT MYERS,Florida,33913,,26.497734,-81.691344,14341 ALICO RD.,,FORT MYERS,Florida,33913,,Approved,12/6/2001,Accepted,9/22/2016
District 1,Mine,Aggregate,12521,BONITA GRANDE AGGREGATES,"Grosse Pointe Development Co., Inc.",John Fulton,jfulton@bonitagrande.com,(239) 947-6402,25501 BONITA GRANDE DRIVE,,BONITA SPRINGS,Florida,34135,,26.372430,-81.737260,25501 BONITA GRANDE DRIVE,,BONITA SPRINGS,Florida,34135,,Inactivated,7/1/2024,Accepted,9/22/2016
District 1,Mine,Aggregate,12599,Martin Marietta Aggregates,Martin Marietta Aggregates,CONRAD FLORES,conrad.flores@martinmarietta.com,(239) 910-0826,15401 ALICO ROAD,,FORT MYERS,Florida,33913,,26.474950,-81.709290,15401 ALICO ROAD,,FORT MYERS,Florida,33913,,Approved,6/9/2004,Accepted,11/13/2024
District 1,Mine,Aggregate,12920,"Earth Tech Enterprises, Inc",Earth Tech Ent,Lorne Andrews,lorne@EARTHTECHENTERPRISES.COM,(207) 461-0409,21260 SR 82,,Fort Meyers,Florida,33913,,26.528561,-81.605390,21260 SR 82,,Fort Meyers,Florida,33913,,Approved,6/5/2024,Accepted,6/5/2024
District 1,Mine,Aggregate,13700,"WOODRUFF AND SONS, INC.","Woodruff & Sons, Inc.",RICK LOSINIECKI,rickl@woodruffandsons.com,(941) 756-1871,6450 31ST STREET E,,BRADENTON,Florida,34203,,27.426370,-82.526020,P.O. BOX 10127,,BRADENTON,Florida,34282,,Approved,11/20/2009,Accepted,9/22/2016
District 1,Mine,Aggregate,13844,"Woodruff & Sons, Inc.","Woodruff & Sons, Inc.",RICK LOSINIECKI,rickl@woodruffandsons.com,(941) 756-1871,11500 N US 41,,Palmetto,Florida,34221,,27.619440,-82.535990,11500 N US 41,,Palmetto,Florida,34221,,Approved,4/7/2021,Accepted,11/7/2019
District 1,Mine,Aggregate,16822,"Angelo's Aggregate Materials - Lakeland, FL",Angelo's Recycled Materials,JOHN ARNOLD,john.phillip.arnold@gmail.com,(813) 477-1719,1880 FAIRBANKS STREET,,Lakeland,Florida,33805,,28.066905,-81.985259,1201 E 148th Ave,,Lutz,Florida,33549,,Inactivated,8/4/2020,Accepted,10/13/2016
District 1,Mine,Aggregate,17710,"Frederick Derr & Company, INC","Frederick Derr & Company, Inc.",RYAN HIRSTEIN,ryan@frederickderrcompany.com,(941) 355-8575,3801 N. Orange Ave,,Sarasota,Florida,34234,,27.368417,-82.539781,3801 N. Orange Ave,,Sarasota,Florida,34234,,Approved,5/18/2016,Accepted,9/23/2016
District 1,Mine,Aggregate,91821,SAND HILL ROCK LLC,Sand Hill Rock LLC,,,,7660 NE 304th St,,Okeechobee,Florida,34972,,27.513017,-80.749780,7660 NE 304th St,,Okeechobee,Florida,34972,,Approved,8/27/2019,Accepted,7/12/2017
District 1,Plant,Asphalt,A0103,"Ajax Paving Industries of Florida, LLC - Punta Gorda, FL",Ajax Paving Industries of Florida LLC,RUSTY REYNOLDS,rreynolds@ajaxpaving.com,(239) 707-2808,40851 COOK BROWN ROAD,,PUNTA GORDA,Florida,33955,,26.796302,-81.779373,510 GENE GREEN ROAD,,NOKOMIS,Florida,34275,,Under Review,6/23/2015,Accepted,11/22/2022
District 1,Plant,Asphalt,A0108,"Ajax Paving Industries of Florida, LLC - Lake Wales, FL",Ajax Paving Industries of Florida LLC,AUSTIN WRIGHT,awright@ajaxpaving.com,(941) 525-8065,1800 Old Bartow Road,,Lake Wales,Florida,33859,,27.904960,-81.617010,1800 Old Bartow Road,,Lake Wales,Florida,33859,,Under Review,5/5/2021,Accepted,8/5/2021
District 1,Plant,Asphalt,A0619,"Ajax Paving Industries of Florida, LLC - Palmetto, FL",Ajax Paving Industries of Florida LLC,AUSTIN WRIGHT,awright@ajaxpaving.com,(941) 525-8065,12165 US 41 NORTH,SEND TO A0708,PALMETTO,Florida,34221,,27.624922,-82.540498,12165 US 41 NORTH,SEND TO A0708,PALMETTO,Florida,34221,,Under Review,6/23/2015,Accepted,4/21/2016
District 1,Plant,Asphalt,A0636,"ALLIGATOR ALLEY AGGREGATE AND ASPHALT,IN","Alligator Alley Aggregate and Asphalt, Inc.",DAVE BARRIE,daveb@betteroads.net,(239) 825-3506,9220 COLLIER BOULEVARD,,NAPLES,Florida,34114,,26.128918,-81.675550,9220 COLLIER BOULEVARD,,NAPLES,Florida,34114,,Under Review,6/23/2015,Inactivated,1/10/2023
District 1,Plant,Asphalt,A0675,"PREFERRED MATERIALS, INC.SOUTHERN REGION","PMI-Preferred Materials, Inc. - Asphalt Division",DAVID DACHENHAUSEN,david.dachenhausen@preferredmaterials.com,(239) 560-2289,520 GENE GREEN ROAD,,LAUREL,Florida,34272,,27.156478,-82.391194,1451 MYRTLE STREET,,Sarasota,Florida,34234,,Under Review,6/23/2015,Accepted,11/14/2016
District 1,Plant,Asphalt,A0707,PREFERRED MATERIALS INC.-WINTER HAVEN,"PMI-Preferred Materials, Inc. - Asphalt Division",Eric Dickson,Eric.Dickson@preferredmaterials.com,(407) 414-9807,1445 42ND STREET NW,,WINTER HAVEN,Florida,33881,,28.039117,-81.782067,1803 33rd Street Suite 150,,Orlando,Florida,32839,,Under Review,6/23/2015,Accepted,4/12/2018
District 1,Plant,Asphalt,A0708,"Ajax Paving Industries of Florida, LLC - Nokomis, FL",Ajax Paving Industries of Florida LLC,RUSTY REYNOLDS,rreynolds@ajaxpaving.com,(239) 707-2808,510 GENE GREEN ROAD,,NOKOMIS,Florida,34275,,27.158486,-82.387672,510 GENE GREEN ROAD,,NOKOMIS,Florida,34275,,Under Review,6/23/2015,Accepted,4/21/2016
